5.1699;0.4739;-3.1099;0.991;0.21172;6.41;5.32;1;19.73;1;165.24;0.54;-85.681;-25.388;31.863;94.873;99461;HIP99461 HD191408 Gli
-1.1147;-3.1923;-5.0288;0.82;0.56354;5.35;4.26;1;19.76;1;165.02;0.33;-66.205;-91.253;-10.781;113.254;15510;HIP15510 HD20794 Gli
4.4549;-2.5959;-3.2739;0.706;1.10089;4.62;3.55;1;19.91;1;163.73;0.4;-13.77;-4.113;-35.169;37.992;99240;HIP99240 HD190248 Gli Del Pav
4.149;-1.641;4.1829;1.677;0.00086;12.39;11.32;1;19.94;1;163.51;1.69;0;0;0;0;71253;HIP71253 Gli
6.1722;-0.2845;-0.1894;1.542;0.00189;11.53;10.49;1;20.15;1;161.77;6.98;0;0;0;0;86961;HIP86961 Gli
6.1722;-0.284;-0.19;1.542;0.00082;12.43;11.39;1;20.15;1;161.77;6.98;0;0;0;0;86963;HIP86963 Gli
-4.3937;1.1828;4.1945;1.416;0.02613;8.68;7.64;1;20.17;1;161.59;3.24;-45.916;-12.799;-19.619;51.546;45343;HIP45343 HD79210 Gli
5.1839;-0.4712;-3.3768;1.416;0.01938;9.01;7.97;1;20.23;1;161.17;0.67;-35.495;4.185;-4.786;36.06;99701;HIP99701 HD191849 Gli
-0.7224;4.7915;-3.9437;1.822;0.00289;11.07;10.05;1;20.37;1;160.06;1.76;-13.978;-6.913;-6.429;16.868;116132;HIP116132 Gli
-4.4515;1.1985;4.2504;0.991;0.02539;8.71;7.7;1;20.44;1;159.48;4.14;-48.447;-15.298;-18.756;54.156;120005;HIP120005 HD79211 Gli
4.7754;-0.4952;4.0309;1.748;0.0018;11.58;10.57;1;20.44;1;159.52;1.42;-26.94;-25.346;11.828;38.834;74995;HIP74995 Gli
1.6371;4.8481;3.7132;1.137;0.00586;10.31;9.31;1;20.61;1;158.17;2.06;42.97;-11.709;-13.934;46.665;84140;HIP84140 HD155876 Gli
-5.9787;0.1093;2.1654;1.748;0.00069;12.63;11.65;1;20.73;1;157.24;2.11;-56.072;-19.333;-2.717;59.374;34603;HIP34603 Gli
1.9248;-6.1031;0.7213;-0.63;0.00068;12.65;11.69;1;20.99;1;155.28;50.43;0;0;0;0;54298;HIP54298 Gli
5.9449;1.1611;2.3447;1.677;0.00067;12.67;11.73;1;21.17;1;153.96;2.62;41.789;-21.89;26.29;54.006;82809;HIP82809 Gli
